Sat Aug 15 05:27:19 IST 2020,1294422883045867527,NEUTRAL,339
Sat Aug 15 05:27:19 IST 2020,1294422882886520835,POSITIVE,0
Sat Aug 15 05:27:18 IST 2020,1294422882089656321,NEUTRAL,339
Sat Aug 15 05:27:18 IST 2020,1294422881015824385,NEGATIVE,9423
Sat Aug 15 05:27:15 IST 2020,1294422867166322689,NEUTRAL,3
Sat Aug 15 05:27:14 IST 2020,1294422865337556993,NEUTRAL,2
Sat Aug 15 05:27:10 IST 2020,1294422846807011328,NEUTRAL,8
Sat Aug 15 05:26:56 IST 2020,1294422786186907652,NEUTRAL,0
Sat Aug 15 05:26:54 IST 2020,1294422778897141762,NEUTRAL,19844
Sat Aug 15 05:26:53 IST 2020,1294422776951050241,NEUTRAL,0
Sat Aug 15 05:26:48 IST 2020,1294422754666721281,POSITIVE,0
Sat Aug 15 05:26:48 IST 2020,1294422752602931200,POSITIVE,0
Sat Aug 15 05:26:47 IST 2020,1294422748681269248,NEUTRAL,8
Sat Aug 15 05:26:46 IST 2020,1294422747938877440,NEUTRAL,0
Sat Aug 15 05:26:43 IST 2020,1294422732608802828,NEUTRAL,41
Sat Aug 15 05:26:42 IST 2020,1294422730800918529,NEUTRAL,39
Sat Aug 15 05:26:41 IST 2020,1294422725457567750,NEUTRAL,1010
Sat Aug 15 05:26:37 IST 2020,1294422708781015041,NEUTRAL,0
Sat Aug 15 05:26:37 IST 2020,1294422706138439681,POSITIVE,194
Sat Aug 15 05:26:36 IST 2020,1294422702741233664,NEUTRAL,4
Sat Aug 15 05:26:35 IST 2020,1294422700572782593,NEUTRAL,339
Sat Aug 15 05:26:32 IST 2020,1294422688866242560,NEUTRAL,0
Sat Aug 15 05:26:32 IST 2020,1294422688300257282,NEUTRAL,4
Sat Aug 15 05:26:26 IST 2020,1294422662807093248,NEUTRAL,0
Sat Aug 15 05:26:25 IST 2020,1294422659028021248,NEGATIVE,1954
Sat Aug 15 05:26:22 IST 2020,1294422647095214080,NEUTRAL,24
Sat Aug 15 05:26:21 IST 2020,1294422640954953735,NEUTRAL,19844
Sat Aug 15 05:26:09 IST 2020,1294422591957012481,NEGATIVE,2
Sat Aug 15 05:26:08 IST 2020,1294422587766906880,NEGATIVE,8
Sat Aug 15 05:25:57 IST 2020,1294422541633613825,NEGATIVE,0
Sat Aug 15 05:25:55 IST 2020,1294422533668831237,NEUTRAL,31
Sat Aug 15 05:25:53 IST 2020,1294422525649264646,NEGATIVE,0
Sat Aug 15 05:25:49 IST 2020,1294422507987046401,NEUTRAL,19844
Sat Aug 15 05:25:45 IST 2020,1294422490186485762,NEUTRAL,0
Sat Aug 15 05:25:44 IST 2020,1294422486541406208,NEGATIVE,9423
Sat Aug 15 05:25:41 IST 2020,1294422473841287169,NEUTRAL,112
Sat Aug 15 05:25:39 IST 2020,1294422466442469376,NEUTRAL,339
Sat Aug 15 05:25:37 IST 2020,1294422457936478210,NEUTRAL,4996
Sat Aug 15 05:25:36 IST 2020,1294422451863068673,NEGATIVE,9423
Sat Aug 15 05:25:35 IST 2020,1294422447580762114,NEUTRAL,3
Sat Aug 15 05:25:34 IST 2020,1294422442803331072,NEUTRAL,0
Sat Aug 15 05:25:33 IST 2020,1294422439162781696,NEUTRAL,6
Sat Aug 15 05:25:33 IST 2020,1294422438273601536,NEUTRAL,19844
Sat Aug 15 05:25:31 IST 2020,1294422431751376897,NEGATIVE,9423
Sat Aug 15 05:25:28 IST 2020,1294422419432706049,NEGATIVE,9423
Sat Aug 15 05:25:26 IST 2020,1294422411220094976,NEUTRAL,8
Sat Aug 15 05:25:24 IST 2020,1294422402508546049,NEUTRAL,26
Sat Aug 15 05:25:22 IST 2020,1294422394656952320,NEGATIVE,9423
Sat Aug 15 05:25:22 IST 2020,1294422392622714886,NEUTRAL,339
Sat Aug 15 05:25:01 IST 2020,1294422303581888515,NEUTRAL,19844
Sat Aug 15 05:25:00 IST 2020,1294422302889738245,NEUTRAL,3
Sat Aug 15 05:24:59 IST 2020,1294422295071600645,NEUTRAL,135
Sat Aug 15 05:24:58 IST 2020,1294422290957033472,NEGATIVE,9423
Sat Aug 15 05:24:51 IST 2020,1294422262091669504,NEUTRAL,0
Sat Aug 15 05:24:49 IST 2020,1294422253271220224,NEGATIVE,0
Sat Aug 15 05:24:43 IST 2020,1294422229187530758,NEUTRAL,53
Sat Aug 15 05:24:40 IST 2020,1294422219171323904,NEUTRAL,1239
Sat Aug 15 05:24:38 IST 2020,1294422207897071616,NEUTRAL,19
Sat Aug 15 05:24:37 IST 2020,1294422203551944706,NEUTRAL,19844
Sat Aug 15 05:24:35 IST 2020,1294422197914787841,NEGATIVE,0
Sat Aug 15 05:24:35 IST 2020,1294422195360468993,NEUTRAL,19844
Sat Aug 15 05:24:34 IST 2020,1294422194186002432,NEGATIVE,0
Sat Aug 15 05:24:34 IST 2020,1294422193376354305,NEGATIVE,9423
Sat Aug 15 05:24:27 IST 2020,1294422164305784832,NEUTRAL,0
Sat Aug 15 05:24:18 IST 2020,1294422125072220160,NEUTRAL,0
Sat Aug 15 05:24:14 IST 2020,1294422107632410626,NEUTRAL,55
Sat Aug 15 05:24:12 IST 2020,1294422100380352524,NEGATIVE,9423
Sat Aug 15 05:24:12 IST 2020,1294422099411509248,NEUTRAL,19844
